SURVEY_DATE	PRODUCT_ID	PRODUCT_NAME	PRICE	VAT	EXCISE	NET	CHANGE
4.04.2005	3	Heating gas oil	1025.15	170.86	403.21	451.08	10.25
4.04.2005	5	LPG	553.56	92.26	156.62	304.68	0
4.04.2005	6	Residual fuel oil	603.17	54.83	166.84	381.5	13.89
4.04.2005	8	Heavy fuel oil	289.78	0	31.39	258.39	12.92
11.04.2005	1	Euro-Super 95	1236.35	206.06	564	466.29	48.43
11.04.2005	2	Automotive gas oil	1122.8	187.13	413	522.67	48.17
11.04.2005	3	Heating gas oil	1030.84	171.81	403.21	455.82	5.69
11.04.2005	5	LPG	553.81	92.3	156.62	304.89	0.25
11.04.2005	6	Residual fuel oil	608.22	55.29	166.84	386.09	5.05
11.04.2005	8	Heavy fuel oil	313.53	0	31.39	282.14	23.75
18.04.2005	1	Euro-Super 95	1236.35	206.06	564	466.29	0
18.04.2005	2	Automotive gas oil	1122.8	187.13	413	522.67	0
18.04.2005	3	Heating gas oil	1018.49	169.75	403.21	445.53	-12.35
18.04.2005	5	LPG	553.81	92.3	156.62	304.89	0
18.04.2005	6	Residual fuel oil	602.77	54.8	166.84	381.13	-5.45
18.04.2005	8	Heavy fuel oil	289.2	0	31.39	257.81	-24.33
25.04.2005	1	Euro-Super 95	1234.89	205.81	564	465.08	-1.46
25.04.2005	2	Automotive gas oil	1121.45	186.91	413	521.54	-1.35
25.04.2005	3	Heating gas oil	1016.08	169.35	403.21	443.52	-2.41
25.04.2005	5	LPG	553.81	92.3	156.62	304.89	0
25.04.2005	6	Residual fuel oil	605.23	55.02	166.84	383.37	2.46
25.04.2005	8	Heavy fuel oil	294.82	0	31.39	263.43	5.62
2.05.2005	1	Euro-Super 95	1234.89	205.81	564	465.08	0
2.05.2005	2	Automotive gas oil	1092.92	182.15	413	497.77	-28.53
2.05.2005	3	Heating gas oil	1008.37	168.06	403.21	437.1	-7.71
2.05.2005	5	LPG	553.2	92.2	156.62	304.38	-0.61
2.05.2005	6	Residual fuel oil	600.28	54.57	166.84	378.87	-4.95
2.05.2005	8	Heavy fuel oil	289.41	0	31.39	258.02	-5.41
9.05.2005	1	Euro-Super 95	1215.38	202.56	564	448.82	-19.51
9.05.2005	2	Automotive gas oil	1072.72	178.79	413	480.93	-20.2
9.05.2005	3	Heating gas oil	1000.75	166.79	403.21	430.75	-7.62
9.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
9.05.2005	6	Residual fuel oil	592.43	53.86	166.84	371.73	-7.85
9.05.2005	8	Heavy fuel oil	279.99	0	31.39	248.6	-9.42
16.05.2005	1	Euro-Super 95	1201.12	200.19	564	436.93	-14.26
16.05.2005	2	Automotive gas oil	1062.62	177.1	413	472.52	-10.1
16.05.2005	3	Heating gas oil	986.34	164.39	403.21	418.74	-14.41
16.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
16.05.2005	6	Residual fuel oil	578.27	52.57	166.84	358.86	-14.16
16.05.2005	8	Heavy fuel oil	284.06	0	31.39	252.67	4.07
23.05.2005	1	Euro-Super 95	1186.26	197.71	564	424.55	-14.86
23.05.2005	2	Automotive gas oil	1052.68	175.45	413	464.23	-9.94
23.05.2005	3	Heating gas oil	990.43	165.07	403.21	422.15	4.09
23.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
23.05.2005	6	Residual fuel oil	585.79	53.25	166.84	365.7	7.52
23.05.2005	8	Heavy fuel oil	292.33	0	31.39	260.94	8.27
30.05.2005	1	Euro-Super 95	1186.26	197.71	564	424.55	0
30.05.2005	2	Automotive gas oil	1052.68	175.45	413	464.23	0
30.05.2005	3	Heating gas oil	1001	166.83	403.21	430.96	10.57
30.05.2005	5	LPG	553.2	92.2	156.62	304.38	0
30.05.2005	6	Residual fuel oil	594.08	54.01	166.84	373.23	8.29
30.05.2005	8	Heavy fuel oil	287.22	0	31.39	255.83	-5.11
6.06.2005	1	Euro-Super 95	1197.86	199.64	564	434.22	11.6
6.06.2005	2	Automotive gas oil	1074.55	179.09	413	482.46	21.87
6.06.2005	3	Heating gas oil	1024.37	170.73	403.21	450.43	23.37
6.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
6.06.2005	6	Residual fuel oil	600.94	54.63	166.84	379.47	6.86
6.06.2005	8	Heavy fuel oil	290.06	0	31.39	258.67	2.84
13.06.2005	1	Euro-Super 95	1216.26	202.71	564	449.55	18.4
13.06.2005	2	Automotive gas oil	1102.35	183.72	413	505.63	27.8
13.06.2005	3	Heating gas oil	1039.01	173.17	403.21	462.63	14.64
13.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
13.06.2005	6	Residual fuel oil	610.85	55.53	166.84	388.48	9.91
13.06.2005	8	Heavy fuel oil	292.25	0	31.39	260.86	2.19
20.06.2005	1	Euro-Super 95	1216.44	202.74	564	449.7	0.18
20.06.2005	2	Automotive gas oil	1104.03	184	413	507.03	1.68
20.06.2005	3	Heating gas oil	1050.01	175	403.21	471.8	11
20.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
20.06.2005	6	Residual fuel oil	617.81	56.16	166.84	394.81	6.96
20.06.2005	8	Heavy fuel oil	311.35	0	31.39	279.96	19.1
27.06.2005	1	Euro-Super 95	1231.19	205.2	564	461.99	14.75
27.06.2005	2	Automotive gas oil	1120.85	186.81	413	521.04	16.82
27.06.2005	3	Heating gas oil	1059.54	176.59	403.21	479.74	9.53
27.06.2005	5	LPG	553.2	92.2	156.62	304.38	0
27.06.2005	6	Residual fuel oil	635.86	57.81	166.84	411.21	18.05
27.06.2005	8	Heavy fuel oil	328.78	0	31.39	297.39	17.43
4.07.2005	1	Euro-Super 95	1245.79	207.63	564	474.16	14.6
4.07.2005	2	Automotive gas oil	1131.05	188.51	413	529.54	10.2
4.07.2005	3	Heating gas oil	1064.42	177.4	403.21	483.81	4.88
4.07.2005	5	LPG	553.44	92.24	156.62	304.58	0.24
4.07.2005	6	Residual fuel oil	645.06	58.64	166.84	419.58	9.2
4.07.2005	8	Heavy fuel oil	316.56	0	31.39	285.17	-12.22
11.07.2005	1	Euro-Super 95	1246.15	207.69	564	474.46	0.36
11.07.2005	2	Automotive gas oil	1131.97	188.66	413	530.31	0.92
11.07.2005	3	Heating gas oil	1081.69	180.28	403.21	498.2	17.27
11.07.2005	5	LPG	553.44	92.24	156.62	304.58	0
11.07.2005	6	Residual fuel oil	647.88	58.9	166.84	422.14	2.82
11.07.2005	8	Heavy fuel oil	329.41	0	31.39	298.02	12.85
18.07.2005	1	Euro-Super 95	1247.67	207.95	564	475.72	1.52
18.07.2005	2	Automotive gas oil	1133.37	188.89	413	531.48	1.4
18.07.2005	3	Heating gas oil	1072.66	178.78	403.21	490.67	-9.03
18.07.2005	5	LPG	553.44	92.24	156.62	304.58	0
18.07.2005	6	Residual fuel oil	645.16	58.65	166.84	419.67	-2.72
18.07.2005	8	Heavy fuel oil	325.33	0	31.39	293.94	-4.08
25.07.2005	1	Euro-Super 95	1245.7	207.62	564	474.08	-1.97
25.07.2005	2	Automotive gas oil	1132.13	188.69	413	530.44	-1.24
25.07.2005	3	Heating gas oil	1056.69	176.11	403.21	477.37	-15.97
25.07.2005	5	LPG	553.44	92.24	156.62	304.58	0
25.07.2005	6	Residual fuel oil	647.26	58.84	166.84	421.58	2.1
25.07.2005	8	Heavy fuel oil	319.07	0	31.39	287.68	-6.26
1.08.2005	1	Euro-Super 95	1246.26	207.71	564	474.55	0.56
1.08.2005	2	Automotive gas oil	1132.13	188.69	413	530.44	0
1.08.2005	3	Heating gas oil	1062.67	177.11	403.21	482.35	5.98
1.08.2005	5	LPG	553.44	92.24	156.62	304.58	0
1.08.2005	6	Residual fuel oil	639.43	58.13	166.84	414.46	-7.83
1.08.2005	8	Heavy fuel oil	321.7	0	31.39	290.31	2.63
8.08.2005	1	Euro-Super 95	1246.26	207.71	564	474.55	0
8.08.2005	2	Automotive gas oil	1132.82	188.8	413	531.02	0.69
8.08.2005	3	Heating gas oil	1065.31	177.55	403.21	484.55	2.64
8.08.2005	5	LPG	553.44	92.24	156.62	304.58	0
8.08.2005	6	Residual fuel oil	649.28	59.03	166.84	423.41	9.85
8.08.2005	8	Heavy fuel oil	321.56	0	31.39	290.17	-0.14
22.08.2005	1	Euro-Super 95	1275.6	212.6	564	499	29.34
22.08.2005	2	Automotive gas oil	1157.26	192.88	413	551.38	24.44
22.08.2005	3	Heating gas oil	1087.73	181.29	403.21	503.23	22.42
22.08.2005	5	LPG	555.16	92.53	156.62	306.01	1.72
22.08.2005	6	Residual fuel oil	646.84	58.8	166.84	421.2	-2.44
22.08.2005	8	Heavy fuel oil	326.21	0	31.39	294.82	4.65
29.08.2005	1	Euro-Super 95	1277.05	212.84	564	500.21	1.45
29.08.2005	2	Automotive gas oil	1157.9	192.98	413	551.92	0.64
29.08.2005	3	Heating gas oil	1111.53	185.25	403.21	523.07	23.8
29.08.2005	5	LPG	555.16	92.53	156.62	306.01	0
29.08.2005	6	Residual fuel oil	665.08	60.46	166.84	437.78	18.24
29.08.2005	8	Heavy fuel oil	329.28	0	31.39	297.89	3.07
5.09.2005	1	Euro-Super 95	1306.89	217.81	564	525.08	29.84
5.09.2005	2	Automotive gas oil	1179.13	196.52	413	569.61	21.23
5.09.2005	3	Heating gas oil	1148.23	191.37	403.21	553.65	36.7
5.09.2005	5	LPG	555.16	92.53	156.62	306.01	0
5.09.2005	6	Residual fuel oil	688.76	62.61	166.84	459.31	23.68
5.09.2005	8	Heavy fuel oil	359.42	0	31.39	328.03	30.14
12.09.2005	1	Euro-Super 95	1329.84	221.64	564	544.2	22.95
12.09.2005	2	Automotive gas oil	1206.9	201.15	413	592.75	27.77
12.09.2005	3	Heating gas oil	1121.71	186.95	403.21	531.55	-26.52
12.09.2005	5	LPG	578.22	96.37	156.62	325.23	23.06
12.09.2005	6	Residual fuel oil	677	61.55	166.84	448.61	-11.76
12.09.2005	8	Heavy fuel oil	350.45	0	31.39	319.06	-8.97
19.09.2005	1	Euro-Super 95	1296.46	216.08	564	516.38	-33.38
19.09.2005	2	Automotive gas oil	1178.61	196.43	413	569.18	-28.29
19.09.2005	3	Heating gas oil	1124.51	187.42	403.21	533.88	2.8
19.09.2005	5	LPG	579	96.5	156.62	325.88	0.78
19.09.2005	6	Residual fuel oil	685.98	62.36	166.84	456.78	8.98
19.09.2005	8	Heavy fuel oil	356.72	0	31.39	325.33	6.27
26.09.2005	1	Euro-Super 95	1293.42	215.57	564	513.85	-3.04
26.09.2005	2	Automotive gas oil	1177.67	196.28	413	568.39	-0.94
26.09.2005	3	Heating gas oil	1134.44	189.07	403.21	542.16	9.93
26.09.2005	5	LPG	579.54	96.59	156.62	326.33	0.54
26.09.2005	6	Residual fuel oil	699.53	63.59	166.84	469.1	13.55
26.09.2005	8	Heavy fuel oil	373.2	0	31.39	341.81	16.48
3.10.2005	1	Euro-Super 95	1335.22	222.54	564	548.68	41.8
3.10.2005	2	Automotive gas oil	1217.1	202.85	413	601.25	39.43
3.10.2005	3	Heating gas oil	1149.46	191.58	403.21	554.67	15.02
3.10.2005	5	LPG	593.24	98.87	156.62	337.75	13.7
3.10.2005	6	Residual fuel oil	695.83	63.26	166.84	465.73	-3.7
3.10.2005	8	Heavy fuel oil	371.83	0	31.39	340.44	-1.37
10.10.2005	1	Euro-Super 95	1337.86	222.98	564	550.88	2.64
10.10.2005	2	Automotive gas oil	1218.09	203.01	413	602.08	0.99
10.10.2005	3	Heating gas oil	1136.83	189.47	403.21	544.15	-12.63
10.10.2005	5	LPG	599	99.83	156.62	342.55	5.76
10.10.2005	6	Residual fuel oil	691.57	62.87	166.84	461.86	-4.26
10.10.2005	8	Heavy fuel oil	352.13	0	31.39	320.74	-19.7
17.10.2005	1	Euro-Super 95	1334.07	222.35	564	547.72	-3.79
17.10.2005	2	Automotive gas oil	1216.71	202.78	413	600.93	-1.38
17.10.2005	3	Heating gas oil	1145.53	190.92	403.21	551.4	8.7
17.10.2005	5	LPG	599	99.83	156.62	342.55	0
17.10.2005	6	Residual fuel oil	702.95	63.9	166.84	472.21	11.38
17.10.2005	8	Heavy fuel oil	368.85	0	31.39	337.46	16.72
24.10.2005	1	Euro-Super 95	1295.58	215.93	564	515.65	-38.49
24.10.2005	2	Automotive gas oil	1208.15	201.36	413	593.79	-8.56
24.10.2005	3	Heating gas oil	1125.59	187.6	403.21	534.78	-19.94
24.10.2005	5	LPG	599	99.83	156.62	342.55	0
24.10.2005	6	Residual fuel oil	698.92	63.54	166.84	468.54	-4.03
24.10.2005	8	Heavy fuel oil	363.41	0	31.39	332.02	-5.44
31.10.2005	1	Euro-Super 95	1256.81	209.47	564	483.34	-38.77
31.10.2005	2	Automotive gas oil	1169.02	194.84	413	561.18	-39.13
31.10.2005	3	Heating gas oil	1123.6	187.27	403.21	533.12	-1.99
31.10.2005	5	LPG	601.29	100.21	156.62	344.46	2.29
31.10.2005	6	Residual fuel oil	698.32	63.48	166.84	468	-0.6
31.10.2005	8	Heavy fuel oil	361.23	0	31.39	329.84	-2.18
7.11.2005	1	Euro-Super 95	1255.08	209.18	564	481.9	-1.73
7.11.2005	2	Automotive gas oil	1167.34	194.56	413	559.78	-1.68
7.11.2005	3	Heating gas oil	1104.32	184.05	403.21	517.06	-19.28
7.11.2005	5	LPG	604.47	100.74	156.62	347.11	3.18
7.11.2005	6	Residual fuel oil	685.58	62.33	166.84	456.41	-12.74
7.11.2005	8	Heavy fuel oil	343.69	0	31.39	312.3	-17.54
14.11.2005	1	Euro-Super 95	1245.95	207.66	564	474.29	-9.13
14.11.2005	2	Automotive gas oil	1138.33	189.72	413	535.61	-29.01
14.11.2005	3	Heating gas oil	1091.94	181.99	403.21	506.74	-12.38
